monthly_payment,description,price,square_price,area,rooms,subways,floors
311668.0,"Вашему вниманию предлагается светлая, уютная и просторная 3-х комнатная квартира, общей площадью 79,5 кв.м.  Все комнаты изолированные. Окна выходят во двор и на улицу. В квартире есть просторная кладовка, которую можно переоборудовать в гардеробную.
Чистый подъезд, доброжелательные соседи.  Удобное транспортное сообщение ( рядом метро Марьино). Вся инфраструктура современного города ( магазины, банки, поликлиники, детские сады и школы, парк 850-летия Москвы..) в шаговой доступности. Благоустройство двора и зеленые зоны добавляют этой квартире привлекательность и ликвидность.
Два взрослых собственника (в собственности  более 15 лет).  Легкая альтернатива (возможна свободная продажа). Полная стоимость в договоре, документы готовы к сделке. Оперативный показ.",18700000,235220,79.5,3,"Братиславская, Марьино, Борисово, Перерва, Курьяново",14
1083341.0,"Предлагаются на продажу красивые трехкомнатные апартаменты с новым ремонтом общей площадью 128 кв.м в жилом комплексе ""Мосфильмовская"". Элегантный современный ремонт с применением премиальных линеек отделочных материалов. Апартаменты полностью меблированы и продаются со всем наполнением. Планировка: просторная кухня-гостиная с обеденной зоной, 2 спальни, гардеробная, 2 санузла, большой балкон.
Дополнительные места хранения для сезонных вещей.
Расположены апартаменты на 11 этаже и имеют отличные видовые характеристики в сторону МГУ.
Жилой комплекс ""Мосфильмовская"" - 29-этажный комплекс с апартаментами в престижном районе Раменки.  Фасад с витражным остеклением выполнен в современном архитектурном стиле с элементами high-tech.
Входная группа оформлена в контрастных серых тонах и оранжевой зоной ресепшн. Первые 4 этажа отведены под коммерческие помещения и офисы.
Рядом с домом проходит река Раменка, а до Поклонной горы можно дойти пешком. Семейные покупатели оценят близость школ, досуговых и спортивных центров. До главного здания МГУ им. М.В. Ломоносова 2 км.
До ТТК или Кутузовского проспекта можно доехать за 7 минут.
Ближайшие станции метро в пешей доступности: м.Ломоносовский проспект и м.Минская.
Поблизости есть несколько крупных торговых центров: Океания, Капитолий и Времена года.
Желающие купить апартаменты в ЖК Мосфильмовская также могут приобрести место в подземном паркинге, рассчитанном на 340 машин.",65000000,507812,128.0,3,"Минская, Ломоносовский проспект, Раменки",29
405711.33628318587,,61222828,716224,85.48,3,нет метро,43
282502.0,"  Продажа от собственника. Продаётся уютная трёхкомнатная квартира на первом (высоком) этаже дома, расположенного в шаговой доступности (5 мин пешком через рынок) от метро Марьино. 
  Дружный дом и отличные соседи.
  Расположение дома идеально подходит для тех, кто ценит близость к природе и развитую инфраструктуру (школы, детские сады, торговые центры, фитнес-центры, парк 850 лет Москвы. 
  Для малышей во дворе установлена детская площадка, а для взрослых – спортивная площадка.
  Удобство парковки автомобиля обеспечено наличием парковочных мест во дворе.
  В собственности более 20 лет. Без обременений. Выписка до сделки.
  Я собственник в услугах риелтора не нуждаюсь, (т.к. уже есть), отдельно с риелторами не встречаюсь (только вместе с покупателем).",16950000,223614,75.8,3,"Алма-Атинская, Братиславская, Марьино, Борисово, Перерва, Курьяново",14
405711.33628318587,,10461130,289781,36.1,1,нет метро,17
215001.0,"Очень срочная продажа! Цена ниже рыночной! Продаётся уютная однокомнатная квартира площадью 40.8 квадратных метров на третьем этаже семнадцатиэтажного панельного дома, построенного в 2015 году. Дом расположен на улице Дмитровское шоссе, 169 к6, в живописном районе Москвы, где рядом находятся парк, фитнес-центр, школа и детский сад, а также торговый центр для вашего удобства.

Квартира имеет дизайнерский ремонт, что придаёт ей особый шарм и стиль. Просторная кухня  позволит вам комфортно готовить и проводить время за обеденным столом, выход на уютную лоджию из кухни.  Наличие раздельного санузла добавляет удобства в повседневную жизнь. Из окон открывается прекрасный вид на парк, который подарит вам свежий воздух и приятные прогулки в любое время года.

Во дворе дома расположены детская и спортивная площадки, что делает его идеальным местом для семей с детьми. Также во дворе имеется парковка, что значительно упрощает вопрос с парковочными местами.

Расстояние до ближайших станций метро позволяет быстро добраться до любой точки города без необходимости тратить много времени на дорогу. Так, до станции ""Новодачная"" всего 1.3 километра, что составляет примерно 16 минут пешком. А до станции ""Физтех"" путь займет около 17 минут пешком.

Это отличный вариант для тех, кто ценит комфорт, качество и удобство расположения жилья.",12900000,316176,40.8,1,"Новодачная, Долгопрудная, Физтех",17
405711.33628318587,,8701239,224606,38.74,1,нет метро,15
378336.0,"ИНФРАСТРУКТУРА:
ЗАО. Самый экологически чистый район Москвы. Метро Молодежная и Крылатское в 10-ти минутах ходьбы пешком. Шикарная инфраструктура для жизни. Вокруг много спортивных объектов: Гребной канал, Велотрек, Лата-трек (горнолыжный комплекс), мотокросс, бассейн, ледовая арена. Прекрасные школы (школа 1584 - в 2-х минутах хотьбы), кружки, вход в Суворовский парк в 2-х минутах хотьбы (переходит в Москворецкий и Филевский парки), до набережной Москвы-реки можно дойти за 7-10 мин. Много торговых центров, магазинов, кафе, ресторанов.

О ДОМЕ. Отличная благоустроенная территория. Качественный ведомственный дом. Соответствующий контингент. Чистые подъезды. Консьерж, новые лифты. УК государственная. Коммунальные платежи в пределах 7 тыс. руб. в мес.

О КВАРТИРЕ:
Улучшенная планировка, удобное планировочное решение. Возможность слелать 2-й с/у (изначально предусмотрены необходимые подключения), есть возможность сделать гардеробную. Большая лоджия (более 7м2), огромная гостиная комната более 25м2. Спальня - 14 м2, кухня - 12м2. Огромная прихожая. Ремонт косметический. Перепланировок нет. В квартире чисто. Вещи почти все вывезены. Мебель и техника остаются. 

ДОКУМЕНТЫ:
СВОБОДНАЯ ПРОДАЖА.
Собственность 2019 года, один взрослый собственник, без обременений. Документы проверены (экспертиза Сбербанка).
",22700000,313103,72.5,2,"Кунцевская, Молодёжная, Рабочий Посёлок, Кунцевская (Можайская), Терехово (Мнёвники), Кунцевская",16
450003.0,"Номер в базе: 2510272. Продается 2-комнатная квартира с дизайнерским ремонтом в 8-этажном кирпичном доме в районе м. Белорусская (900 метров до метро). Район уже с очень развитой инфраструктурой.

О квартире:
Площадь: 58 кв.м., - 4 этаж, есть балкон (около 2 м2). 
Кухня-гостиная - 27,5 м2;
Спальня+гардероб - 23,5 м2.
Уютная и комфортная квартира с дизайнерским ремонтом и мебелью, полностью готовая к проживанию. Большая гардеробная комната. Много скрытых  шкафов. 
Потолки в доме 3,2 метра, после ремонта 3,05м.

О доме:
Кирпичный дом 1959 года с железобетонными перекрытиями, большой и чистый подъезд, лифт грузоподъемностью до 6 человек, есть подвальные помещения, отсутствуют неприятные запахи.
В доме 3 подъезда, 84 квартиры, прописано 186 человек.
Дом находится всего в 4 км по прямой от Красной Площади.

Об инфраструктуре (в шаговой доступности до 15 минут) :
- в пределах 500 метров  находятся школы (несколько корпусов школы 1570, кадетская школа 1784 и православная школа исскуств);
- детский сад (2 муниципальных 1570 и 1784), а также несколько частных;
- 2 колледжа (экономических международных связей и автоматизации и информационных технологий;
- Финансовый университет при Правительстве РФ, Пограничная Академия ФСБ, Московский Международный Университет, РГГУ;
- много лечебных учреждений (поликлиники, роддом, много разных платных клиник);
- стадион ВТБ Арена и академия спорта Динамо;
- спортивный интернат ""Динамо"";
- ТВ и радио-компании;
- новый банный комплекс ""Жар-птица"";
- супермаркеты , ателье, кафе и рестораны все в шаговой доступности;
- много новых бизнес центров построилось и в завершающей стадии в пешей доступности.

О транспорте:
- быстрый выезд на Ленинградский проспект, улицу Тверскую и ТТК в обе стороны;
- метро Белорусская и МЦД D1 и D4  900 метров, м. Савеловская 1,4 км.
- остановка общественного транспорта в шаговой доступности;
- новый пешеходный мост в сторону Белой Площади.

О документах:
- один взрослый собственник, быстрый выход на сделку.

Код пользователя: 129358",27000000,465517,58.0,2,"Белорусская, Савёловская, Белорусская, Савеловская, Белорусская",8
405711.33628318587,,12021023,362079,33.2,1,нет метро,20
